State,Date,Confirmed,Recovered,Deceased,Other,Tested
Karnataka,2020-03-09,1,0,0,0,
Karnataka,2020-03-10,4,0,0,0,
Karnataka,2020-03-11,4,0,0,0,
Karnataka,2020-03-12,5,0,0,0,
Karnataka,2020-03-13,6,0,1,0,
Karnataka,2020-03-14,6,0,1,0,
Karnataka,2020-03-15,6,0,1,0,
Karnataka,2020-03-16,7,0,1,0,
Karnataka,2020-03-17,11,0,1,0,
Karnataka,2020-03-18,14,0,1,0,
Karnataka,2020-03-19,15,0,1,0,
Karnataka,2020-03-20,15,1,1,0,
Karnataka,2020-03-21,20,1,1,0,
Karnataka,2020-03-22,26,1,1,0,
Karnataka,2020-03-23,33,1,1,0,
Karnataka,2020-03-24,41,3,1,0,
Karnataka,2020-03-25,51,3,1,0,
Karnataka,2020-03-26,55,3,2,0,
Karnataka,2020-03-27,64,5,3,0,
Karnataka,2020-03-28,76,5,3,0,
Karnataka,2020-03-29,83,5,3,0,
Karnataka,2020-03-30,88,6,3,0,
Karnataka,2020-03-31,101,8,3,0,
Karnataka,2020-04-01,110,9,3,0,
Karnataka,2020-04-02,124,11,3,0,
Karnataka,2020-04-03,128,11,4,0,4587.0
Karnataka,2020-04-04,144,11,4,0,4587.0
Karnataka,2020-04-05,151,12,4,0,4587.0
Karnataka,2020-04-06,163,20,4,0,4587.0
Karnataka,2020-04-07,175,25,4,0,6580.0
Karnataka,2020-04-08,181,28,5,0,6967.0
Karnataka,2020-04-09,197,30,6,0,7613.0
Karnataka,2020-04-10,207,34,6,0,7975.0
Karnataka,2020-04-11,215,39,6,0,8560.0
Karnataka,2020-04-12,232,54,6,0,9251.0
Karnataka,2020-04-13,247,60,8,0,10017.0
Karnataka,2020-04-14,260,71,10,0,11107.0
Karnataka,2020-04-15,279,80,12,0,12483.0
Karnataka,2020-04-16,315,82,13,0,13724.0
Karnataka,2020-04-17,359,88,13,0,17594.0
Karnataka,2020-04-18,384,104,14,0,19186.0
Karnataka,2020-04-19,390,111,16,0,21367.0
Karnataka,2020-04-20,408,112,16,0,23460.0
Karnataka,2020-04-21,418,129,17,0,26233.0
Karnataka,2020-04-22,427,131,17,0,29512.0
Karnataka,2020-04-23,445,145,17,0,32122.0
Karnataka,2020-04-24,474,152,18,0,35958.0
Karnataka,2020-04-25,500,158,18,0,39083.0
Karnataka,2020-04-26,503,182,19,0,42964.0
Karnataka,2020-04-27,512,193,20,1,45685.0
Karnataka,2020-04-28,523,207,20,1,50512.0
Karnataka,2020-04-29,535,216,21,1,55404.0
Karnataka,2020-04-30,565,229,22,1,60156.0
Karnataka,2020-05-01,589,251,22,1,64898.0
Karnataka,2020-05-02,601,271,25,1,69730.0
Karnataka,2020-05-03,614,293,25,1,74898.0
Karnataka,2020-05-04,651,321,27,1,79193.0
Karnataka,2020-05-05,673,331,29,1,83806.0
Karnataka,2020-05-06,693,354,29,1,88777.0
Karnataka,2020-05-07,705,366,30,1,93535.0
Karnataka,2020-05-08,753,376,30,1,98081.0
Karnataka,2020-05-09,794,386,30,1,103098.0
Karnataka,2020-05-10,848,422,31,1,107311.0
Karnataka,2020-05-11,862,426,31,1,111595.0
Karnataka,2020-05-12,925,433,31,1,116533.0
Karnataka,2020-05-13,959,451,33,1,121178.0
Karnataka,2020-05-14,987,460,35,1,128373.0
Karnataka,2020-05-15,1056,480,36,1,133724.0
Karnataka,2020-05-16,1092,496,36,1,140024.0
Karnataka,2020-05-17,1147,509,37,1,145398.0
Karnataka,2020-05-18,1246,530,37,1,151663.0
Karnataka,2020-05-19,1395,543,40,1,158599.0
Karnataka,2020-05-20,1462,556,41,1,166781.0
Karnataka,2020-05-21,1605,571,41,1,174297.0
Karnataka,2020-05-22,1743,597,41,1,186526.0
Karnataka,2020-05-23,1959,608,42,2,196196.0
Karnataka,2020-05-24,2089,654,42,2,206313.0
Karnataka,2020-05-25,2182,705,43,3,219894.0
Karnataka,2020-05-26,2283,764,43,3,228914.0
Karnataka,2020-05-27,2418,781,46,3,241608.0
Karnataka,2020-05-28,2533,834,46,3,252078.0
Karnataka,2020-05-29,2781,894,46,4,264489.0
Karnataka,2020-05-30,2922,997,47,4,280217.0
Karnataka,2020-05-31,3221,1218,49,4,293575.0
Karnataka,2020-06-01,3408,1318,50,4,304816.0
Karnataka,2020-06-02,3796,1393,50,4,319628.0
Karnataka,2020-06-03,4063,1504,51,4,334825.0
Karnataka,2020-06-04,4320,1610,55,4,347093.0
Karnataka,2020-06-05,4835,1693,55,4,360720.0
Karnataka,2020-06-06,5213,1973,57,4,372582.0
Karnataka,2020-06-07,5452,2132,59,4,384442.0
Karnataka,2020-06-08,5760,2441,62,4,393221.0
Karnataka,2020-06-09,5921,2605,64,4,400257.0
Karnataka,2020-06-10,6041,2862,67,4,408506.0
Karnataka,2020-06-11,6245,2976,70,4,416506.0
Karnataka,2020-06-12,6516,3440,77,4,426341.0
Karnataka,2020-06-13,6824,3648,80,4,436518.0
Karnataka,2020-06-14,7000,3960,85,4,443969.0
Karnataka,2020-06-15,7213,4134,87,4,449331.0
Karnataka,2020-06-16,7530,4456,94,4,457267.0
Karnataka,2020-06-17,7734,4804,102,4,464798.0
Karnataka,2020-06-18,7944,4980,114,4,473507.0
Karnataka,2020-06-19,8281,5210,123,4,484060.0
Karnataka,2020-06-20,8697,5393,132,4,493893.0
Karnataka,2020-06-21,9150,5619,137,4,506765.0
Karnataka,2020-06-22,9399,5730,142,4,515969.0
Karnataka,2020-06-23,9721,6004,150,4,526538.0
Karnataka,2020-06-24,10118,6153,164,4,539247.0
Karnataka,2020-06-25,10560,6672,170,4,553325.0
Karnataka,2020-06-26,11005,6918,180,4,568058.0
Karnataka,2020-06-27,11923,7289,191,4,581635.0
Karnataka,2020-06-28,13190,7509,207,4,595470.0
Karnataka,2020-06-29,14295,7685,226,4,605159.0
Karnataka,2020-06-30,15242,7920,246,4,620747.0
Karnataka,2020-07-01,16514,8065,253,4,637417.0
Karnataka,2020-07-02,18016,8336,272,4,653627.0
Karnataka,2020-07-03,19710,8807,293,4,671934.0
Karnataka,2020-07-04,21549,9246,335,4,689526.0
Karnataka,2020-07-05,23474,9849,372,4,706425.0
Karnataka,2020-07-06,25317,10529,402,4,722305.0
Karnataka,2020-07-07,26815,11100,417,4,740047.0
Karnataka,2020-07-08,28877,11878,471,4,759181.0
Karnataka,2020-07-09,31105,12835,488,4,779209.0
Karnataka,2020-07-10,33418,13838,545,4,798437.0
Karnataka,2020-07-11,36216,14718,615,4,819024.0
Karnataka,2020-07-12,38843,15411,686,4,839074.0
Karnataka,2020-07-13,41581,16249,759,4,856148.0
Karnataka,2020-07-14,44077,17390,841,9,879822.0
Karnataka,2020-07-15,47253,18466,928,9,902026.0
Karnataka,2020-07-16,51422,19729,1032,9,925477.0
Karnataka,2020-07-17,55115,20757,1147,9,953417.0
Karnataka,2020-07-18,59652,21775,1240,9,982701.0
Karnataka,2020-07-19,63772,23065,1331,9,999530.0
Karnataka,2020-07-20,67420,23795,1403,9,1025420.0
Karnataka,2020-07-21,71069,25459,1464,9,1051976.0
Karnataka,2020-07-22,75833,27239,1519,9,1079749.0
Karnataka,2020-07-23,80863,29310,1616,9,1110497.0
Karnataka,2020-07-24,85870,31347,1726,9,1110497.0
Karnataka,2020-07-25,90942,33750,1798,9,1143262.0
Karnataka,2020-07-26,96141,35838,1880,9,1176827.0
Karnataka,2020-07-27,101465,37685,1955,9,1205051.0
Karnataka,2020-07-28,107001,40504,2057,9,1242771.0
Karnataka,2020-07-29,112504,42901,2147,9,1275761.0
Karnataka,2020-07-30,118632,46694,2230,9,1313856.0
Karnataka,2020-07-31,124115,49788,2314,9,1350792.0
Karnataka,2020-08-01,129287,53648,2412,9,1385552.0
Karnataka,2020-08-02,134819,57725,2496,9,1418569.0
Karnataka,2020-08-03,139571,62500,2594,9,1446558.0
Karnataka,2020-08-04,145830,69272,2704,9,1489016.0
Karnataka,2020-08-05,151449,74679,2804,9,1532654.0
Karnataka,2020-08-06,158254,80281,2897,9,1581075.0
Karnataka,2020-08-07,164924,84232,2997,8,1624628.0
Karnataka,2020-08-08,172102,89238,3090,8,1668511.0
Karnataka,2020-08-09,178087,93908,3197,8,1706447.0
Karnataka,2020-08-10,182354,99126,3311,8,1729067.0
Karnataka,2020-08-11,188611,105599,3397,8,1772991.0
Karnataka,2020-08-12,196494,112633,3510,8,1826317.0
Karnataka,2020-08-13,203200,121242,3613,8,1882316.0
Karnataka,2020-08-14,211108,128182,3717,8,1938954.0
Karnataka,2020-08-15,219926,134811,3831,8,1993760.0
Karnataka,2020-08-16,226966,141491,3947,16,2037386.0
Karnataka,2020-08-17,233283,148562,4062,16,2075086.0
Karnataka,2020-08-18,240948,156949,4201,16,2134174.0
Karnataka,2020-08-19,249590,164150,4327,16,2197259.0
Karnataka,2020-08-20,256975,170381,4429,16,2256862.0
Karnataka,2020-08-21,264546,176942,4522,16,2314485.0
Karnataka,2020-08-22,271876,184568,4615,16,2373103.0
Karnataka,2020-08-23,277814,189564,4683,16,2413951.0
Karnataka,2020-08-24,283665,197625,4810,19,2453768.0
Karnataka,2020-08-25,291826,204439,4958,19,2513555.0
Karnataka,2020-08-26,300406,211688,5091,19,2580621.0
Karnataka,2020-08-27,309792,219554,5232,19,2648808.0
Karnataka,2020-08-28,318752,227018,5368,19,2713034.0
Karnataka,2020-08-29,327076,235128,5483,19,2785718.0
Karnataka,2020-08-30,335928,242229,5589,19,2852675.0
Karnataka,2020-08-31,342423,249467,5702,19,2895807.0
Karnataka,2020-09-01,351481,254626,5837,19,2979477.0
Karnataka,2020-09-02,361341,260913,5950,19,3052794.0
Karnataka,2020-09-03,370206,268035,6054,19,3123918.0
Karnataka,2020-09-04,379486,274196,6170,19,3197110.0
Karnataka,2020-09-05,389232,283298,6298,19,3273871.0
Karnataka,2020-09-06,398551,292873,6393,19,3348255.0
Karnataka,2020-09-07,404324,300770,6534,19,3393676.0
Karnataka,2020-09-08,412190,308573,6680,19,3461119.0
Karnataka,2020-09-09,421730,315433,6808,19,3531441.0
Karnataka,2020-09-10,430947,322454,6937,19,3586150.0
Karnataka,2020-09-11,440411,334999,7067,19,3650819.0
Karnataka,2020-09-12,449551,344556,7161,19,3714402.0
Karnataka,2020-09-13,459445,352958,7265,19,3800976.0
Karnataka,2020-09-14,467689,361823,7384,19,3846937.0
Karnataka,2020-09-15,475265,369229,7481,19,3915302.0
Karnataka,2020-09-16,484990,375809,7536,19,3986283.0
Karnataka,2020-09-17,494356,383077,7629,19,4058313.0
Karnataka,2020-09-18,502982,394026,7808,19,4115783.0
Karnataka,2020-09-19,511346,404841,7922,19,4179567.0
Karnataka,2020-09-20,519537,413452,8023,19,4240044.0
Karnataka,2020-09-21,526876,423377,8145,19,4282735.0
Karnataka,2020-09-22,533850,432450,8228,19,4338442.0
Karnataka,2020-09-23,540847,437910,8266,19,4394840.0
Karnataka,2020-09-24,548557,444658,8331,19,4459004.0
Karnataka,2020-09-25,557212,450302,8417,19,4518923.0
Karnataka,2020-09-26,566023,455719,8503,19,4586780.0
Karnataka,2020-09-27,575566,462241,8582,19,4659860.0
Karnataka,2020-09-28,582458,469750,8641,19,4718722.0
Karnataka,2020-09-29,592911,476378,8777,19,4806197.0
Karnataka,2020-09-30,601767,485268,8864,19,4901083.0
Karnataka,2020-10-01,611837,492412,8994,19,4997671.0
Karnataka,2020-10-02,620630,499506,9119,19,5089730.0
Karnataka,2020-10-03,630516,508495,9219,19,5174652.0
Karnataka,2020-10-04,640661,515782,9286,19,5260160.0
Karnataka,2020-10-05,647712,522846,9370,19,5327463.0
Karnataka,2020-10-06,657705,533074,9461,19,5419954.0
Karnataka,2020-10-07,668652,542906,9574,19,5524302.0
Karnataka,2020-10-08,679356,552519,9675,19,5629550.0
Karnataka,2020-10-09,690269,561610,9789,19,5739530.0
Karnataka,2020-10-10,700786,569947,9891,19,5852300.0
Karnataka,2020-10-11,710309,580054,9966,19,5952223.0
Karnataka,2020-10-12,717915,592084,10036,19,6030980.0
Karnataka,2020-10-13,726106,602505,10123,19,6137221.0
Karnataka,2020-10-14,735371,611167,10198,19,6250992.0
Karnataka,2020-10-15,743848,620008,10283,19,6355809.0
Karnataka,2020-10-16,751390,628588,10356,19,6461694.0
Karnataka,2020-10-17,758574,637481,10427,19,6562710.0
Karnataka,2020-10-18,765586,645825,10478,19,6667777.0
Karnataka,2020-10-19,770604,653829,10542,19,6746358.0
Karnataka,2020-10-20,776901,662329,10608,19,6844594.0
Karnataka,2020-10-21,782773,671618,10696,19,6952835.0
Karnataka,2020-10-22,788551,684835,10770,19,7060189.0
Karnataka,2020-10-23,793907,693584,10821,19,7168545.0
Karnataka,2020-10-24,798378,700737,10873,19,7281090.0
Karnataka,2020-10-25,802817,710843,10905,19,7381601.0
Karnataka,2020-10-26,805947,719558,10947,19,7447493.0
Karnataka,2020-10-27,809638,727298,10991,19,7514194.0
Karnataka,2020-10-28,812784,733558,11046,19,7600348.0
Karnataka,2020-10-29,816809,741219,11091,19,7701031.0
Karnataka,2020-10-30,820398,749740,11140,19,7804312.0
Karnataka,2020-10-31,823412,757208,11168,19,7905868.0
Karnataka,2020-11-01,827064,765261,11192,19,8012641.0
Karnataka,2020-11-02,829640,773595,11221,19,8091137.0
Karnataka,2020-11-03,832396,780735,11247,19,8185676.0
Karnataka,2020-11-04,835773,788780,11281,19,8288179.0
Karnataka,2020-11-05,838929,794503,11312,19,8404516.0
Karnataka,2020-11-06,841889,797204,11347,19,8514653.0
Karnataka,2020-11-07,844147,799439,11369,19,8620970.0
Karnataka,2020-11-08,846887,801799,11391,19,8738226.0
Karnataka,2020-11-09,848850,804485,11410,19,8823191.0
Karnataka,2020-11-10,851212,808700,11430,19,8932699.0
Karnataka,2020-11-11,853796,811581,11453,19,9043217.0
Karnataka,2020-11-12,855912,814949,11474,19,9158603.0
Karnataka,2020-11-13,857928,818392,11491,19,9276602.0
Karnataka,2020-11-14,860082,820590,11508,19,9392474.0
Karnataka,2020-11-15,861647,822953,11529,19,9492080.0
Karnataka,2020-11-16,862804,825141,11541,19,9568625.0
Karnataka,2020-11-17,864140,827241,11557,19,9644009.0
Karnataka,2020-11-18,865931,829188,11578,19,9741051.0
Karnataka,2020-11-19,867780,830988,11604,19,9859525.0
Karnataka,2020-11-20,869561,833169,11621,19,9981137.0
Karnataka,2020-11-21,871342,834968,11641,19,10106474.0
Karnataka,2020-11-22,873046,836505,11654,19,10233378.0
Karnataka,2020-11-23,874555,838150,11678,19,10329473.0
Karnataka,2020-11-24,876425,840099,11695,19,10447705.0
Karnataka,2020-11-25,878055,841432,11714,19,10570159.0
Karnataka,2020-11-26,879560,842499,11726,19,10690557.0
Karnataka,2020-11-27,881086,843950,11738,19,10804148.0
Karnataka,2020-11-28,882608,846082,11750,19,10914872.0
Karnataka,2020-11-29,883899,847612,11765,19,11020300.0
Karnataka,2020-11-30,884897,849821,11778,19,11101633.0
Karnataka,2020-12-01,886227,850707,11792,19,11197240.0
Karnataka,2020-12-02,887667,851690,11808,19,11303158.0
Karnataka,2020-12-03,889113,852584,11821,19,11411843.0
Karnataka,2020-12-04,890360,853461,11834,19,11509892.0
Karnataka,2020-12-05,891685,854861,11846,19,11613924.0
Karnataka,2020-12-06,893006,855750,11856,19,11713244.0
Karnataka,2020-12-07,894004,857351,11867,19,11789715.0
Karnataka,2020-12-08,895284,858370,11880,19,11878413.0
Karnataka,2020-12-09,896563,861588,11900,19,11979471.0
Karnataka,2020-12-10,897801,866664,11912,19,12063741.0
Karnataka,2020-12-11,899011,868471,11928,19,12164587.0
Karnataka,2020-12-12,900214,870002,11939,19,12266816.0
Karnataka,2020-12-13,901410,872038,11944,19,12355358.0
Karnataka,2020-12-14,902240,874202,11954,19,12420213.0
Karnataka,2020-12-15,903425,875796,11965,19,12509743.0
Karnataka,2020-12-16,904665,877199,11971,19,12611493.0
Karnataka,2020-12-17,905901,878696,11981,19,12717849.0
Karnataka,2020-12-18,907123,879735,11989,19,12822390.0
Karnataka,2020-12-19,908275,881882,12004,19,12937540.0
Karnataka,2020-12-20,909469,882944,12009,19,13047768.0
Karnataka,2020-12-21,910241,884205,12016,19,13121419.0
Karnataka,2020-12-22,911382,885341,12029,19,13217127.0
Karnataka,2020-12-23,912340,886547,12038,19,13317070.0
Karnataka,2020-12-24,913483,887815,12039,19,13415794.0
Karnataka,2020-12-25,914488,888917,12044,19,13514362.0
Karnataka,2020-12-26,915345,889881,12051,19,13609914.0
Karnataka,2020-12-27,916256,891095,12062,19,13704709.0
Karnataka,2020-12-28,916909,892273,12070,19,13772451.0
Karnataka,2020-12-29,917571,893617,12074,19,13858850.0
Karnataka,2020-12-30,918544,894834,12081,19,13962707.0
Karnataka,2020-12-31,919496,896116,12090,19,14078158.0
Karnataka,2021-01-01,920373,897200,12096,19,14196065.0
Karnataka,2021-01-02,921128,898176,12099,19,14310188.0
Karnataka,2021-01-03,921938,898919,12107,19,14432085.0
Karnataka,2021-01-04,922538,900202,12110,19,14531251.0
Karnataka,2021-01-05,923353,901579,12118,19,14654318.0
Karnataka,2021-01-06,924137,902817,12124,19,14788491.0
Karnataka,2021-01-07,924898,903629,12131,19,14918254.0
Karnataka,2021-01-08,925868,904286,12134,19,15050771.0
Karnataka,2021-01-09,926767,905158,12138,19,15175037.0
Karnataka,2021-01-10,927559,905751,12140,19,15288243.0
Karnataka,2021-01-11,928055,906548,12144,19,15375146.0
Karnataka,2021-01-12,928806,907729,12149,19,15485359.0
Karnataka,2021-01-13,929552,908494,12152,19,15598874.0
Karnataka,2021-01-14,929960,909058,12155,19,15705129.0
Karnataka,2021-01-15,930668,909701,12158,19,15789978.0
Karnataka,2021-01-16,931252,910377,12162,19,15884994.0
Karnataka,2021-01-17,931997,911232,12166,19,15983473.0
Karnataka,2021-01-18,932432,912205,12175,19,16052738.0
Karnataka,2021-01-19,933077,913012,12181,19,16133663.0
Karnataka,2021-01-20,933578,913677,12185,19,16217753.0
Karnataka,2021-01-21,934252,914492,12187,19,16306608.0
Karnataka,2021-01-22,934576,915382,12190,19,16399189.0
Karnataka,2021-01-23,935478,915924,12193,19,16485599.0
Karnataka,2021-01-24,936051,916325,12197,19,16566713.0
Karnataka,2021-01-25,936426,917361,12200,19,16626140.0
Karnataka,2021-01-26,936955,918099,12204,19,16691703.0
Karnataka,2021-01-27,937383,918859,12207,19,16750398.0
Karnataka,2021-01-28,937933,919503,12209,19,16816459.0
Karnataka,2021-01-29,938401,920110,12211,19,16884991.0
Karnataka,2021-01-30,938865,920657,12213,19,16958479.0
Karnataka,2021-01-31,939387,921122,12217,19,17033930.0
Karnataka,2021-02-01,939775,921592,12220,19,17087246.0
Karnataka,2021-02-02,940170,922004,12223,19,17147397.0
Karnataka,2021-02-03,940596,922437,12225,19,17218163.0
Karnataka,2021-02-04,941070,922907,12227,19,17294005.0
Karnataka,2021-02-05,941500,923377,12230,19,17368124.0
Karnataka,2021-02-06,942031,923811,12233,19,17442715.0
Karnataka,2021-02-07,942518,924304,12236,19,17516945.0
Karnataka,2021-02-08,942846,924654,12239,19,17565234.0
Karnataka,2021-02-09,943212,925167,12241,19,17625719.0
Karnataka,2021-02-10,943627,925489,12244,19,17691918.0
Karnataka,2021-02-11,944057,925829,12251,19,17760112.0
Karnataka,2021-02-12,944437,926234,12259,19,17829105.0
Karnataka,2021-02-13,944856,926664,12263,19,17895155.0
Karnataka,2021-02-14,945270,927150,12265,19,17956031.0
Karnataka,2021-02-15,945638,927580,12267,19,17998276.0
Karnataka,2021-02-16,946076,927924,12273,19,18045304.0
Karnataka,2021-02-17,946454,928461,12276,19,18099928.0
Karnataka,2021-02-18,946860,928767,12282,19,18159563.0
Karnataka,2021-02-19,947246,929058,12287,19,18221003.0
Karnataka,2021-02-20,947736,929447,12292,19,18279393.0
Karnataka,2021-02-21,948149,929800,12294,19,18334627.0
Karnataka,2021-02-22,948466,930087,12299,19,18380495.0
Karnataka,2021-02-23,948849,930465,12303,19,18431322.0
Karnataka,2021-02-24,949183,930778,12309,19,18494364.0
Karnataka,2021-02-25,949636,931725,12316,19,18562530.0
Karnataka,2021-02-26,950207,932367,12320,19,18639329.0
Karnataka,2021-02-27,950730,932747,12326,19,18712761.0
Karnataka,2021-02-28,951251,933097,12331,19,18796775.0
Karnataka,2021-03-01,951600,933421,12336,19,18856902.0
Karnataka,2021-03-02,952037,933730,12343,19,18921149.0
Karnataka,2021-03-03,952565,934143,12346,19,18989488.0
Karnataka,2021-03-04,953136,934639,12350,19,19068106.0
Karnataka,2021-03-05,953813,935066,12354,19,19146913.0
Karnataka,2021-03-06,954393,935421,12359,19,19229142.0
Karnataka,2021-03-07,955015,935772,12362,19,19305102.0
Karnataka,2021-03-08,955451,936250,12367,19,19361547.0
Karnataka,2021-03-09,956041,936616,12373,19,19427973.0
Karnataka,2021-03-10,956801,936947,12379,19,19498106.0
Karnataka,2021-03-11,957584,937353,12381,19,19571207.0
Karnataka,2021-03-12,958417,937898,12386,19,19644839.0
Karnataka,2021-03-13,959338,938890,12387,19,19717489.0
Karnataka,2021-03-14,960272,939499,12390,19,19790597.0
Karnataka,2021-03-15,961204,939928,12397,19,19852955.0
Karnataka,2021-03-16,962339,940489,12403,19,19921424.0
Karnataka,2021-03-17,963614,940968,12407,19,20008072.0
Karnataka,2021-03-18,965102,941309,12415,19,20101442.0
Karnataka,2021-03-19,966689,942178,12425,19,20193326.0
Karnataka,2021-03-20,968487,943208,12432,19,20287369.0
Karnataka,2021-03-21,970202,944256,12434,19,20389209.0
Karnataka,2021-03-22,971647,944917,12444,19,20467387.0
Karnataka,2021-03-23,973657,945594,12449,19,20566120.0
Karnataka,2021-03-24,975955,946589,12461,19,20674133.0
Karnataka,2021-03-25,978478,947781,12471,19,20782529.0
Karnataka,2021-03-26,981044,948988,12484,19,20894800.0
Karnataka,2021-03-27,983930,950167,12492,19,21002216.0
Karnataka,2021-03-28,987012,951452,12504,19,21108544.0
Karnataka,2021-03-29,989804,953416,12520,19,21195741.0
Karnataka,2021-03-30,992779,954678,12541,19,21302658.0
Karnataka,2021-03-31,997004,956170,12567,19,21411226.0
Karnataka,2021-04-01,1001238,957769,12585,19,21526958.0
Karnataka,2021-04-02,1006229,959400,12591,19,21645891.0
Karnataka,2021-04-03,1010602,961359,12610,19,21769721.0
Karnataka,2021-04-04,1015155,963419,12625,19,21889602.0
Karnataka,2021-04-05,1020434,965275,12657,19,21987431.0
Karnataka,2021-04-06,1026584,968762,12696,19,22089452.0
Karnataka,2021-04-07,1033560,971556,12731,19,22214842.0
Karnataka,2021-04-08,1040130,973949,12767,19,22323599.0
Karnataka,2021-04-09,1048085,977169,12813,19,22458762.0
Karnataka,2021-04-10,1055040,980519,12849,19,22557552.0
Karnataka,2021-04-11,1065290,983157,12889,19,22690258.0
Karnataka,2021-04-12,1074869,985924,12941,19,22806423.0
Karnataka,2021-04-13,1083647,992003,13008,19,22928322.0
Karnataka,2021-04-14,1094912,996367,13046,19,23041564.0
Karnataka,2021-04-15,1109650,999958,13112,19,23170964.0
Karnataka,2021-04-16,1124509,1003985,13190,19,23304701.0
Karnataka,2021-04-17,1141998,1009549,13270,19,23448009.0
Karnataka,2021-04-18,1161065,1014152,13351,19,23593654.0
Karnataka,2021-04-19,1176850,1021250,13497,19,23716866.0
Karnataka,2021-04-20,1198644,1025821,13646,19,23864354.0
Karnataka,2021-04-21,1222202,1032233,13762,19,24016635.0
Karnataka,2021-04-22,1247997,1037857,13885,19,24179169.0
Karnataka,2021-04-23,1274959,1046554,14075,19,24356635.0
Karnataka,2021-04-24,1304397,1055612,14283,19,24546248.0
Karnataka,2021-04-25,1339201,1062594,14426,19,24722862.0
Karnataka,2021-04-26,1368945,1073257,14627,19,24889269.0
Karnataka,2021-04-27,1400775,1084050,14807,19,25059385.0
Karnataka,2021-04-28,1439822,1095883,15036,19,25231382.0
Karnataka,2021-04-29,1474846,1110025,15306,19,25407198.0
Karnataka,2021-04-30,1523142,1124909,15523,20,25596991.0
Karnataka,2021-05-01,1564132,1143250,15794,20,25774973.0
Karnataka,2021-05-02,1601865,1164398,16011,20,25933338.0
Karnataka,2021-05-03,1646303,1185299,16250,20,26082428.0
